"Model","Parameter","Estimate","Std_Error","t_stat","p_value","Sig"
"GARCH(1,1)","mu",0.075655,0.013601,5.5625,0,"***"
"GARCH(1,1)","omega",0.02105,0.005212,4.0385,1e-04,"***"
"GARCH(1,1)","alpha1",0.073951,0.009997,7.397,0,"***"
"GARCH(1,1)","beta1",0.90583,0.012303,73.6271,0,"***"
"GARCH(1,1)","shape",7.206767,0.811538,8.8804,0,"***"
"EGARCH(1,1)","mu",0.058433,0.013898,4.2046,0,"***"
"EGARCH(1,1)","omega",-0.006754,0.002608,-2.5897,0.0096,"***"
"EGARCH(1,1)","alpha1",-0.102801,0.009781,-10.5107,0,"***"
"EGARCH(1,1)","beta1",0.972363,0.00052,1871.6878,0,"***"
"EGARCH(1,1)","gamma1",0.119087,0.003501,34.014,0,"***"
"EGARCH(1,1)","shape",7.739564,0.903152,8.5695,0,"***"
"GJR-GARCH(1,1)","mu",0.059608,0.013532,4.405,0,"***"
"GJR-GARCH(1,1)","omega",0.030025,0.005782,5.193,0,"***"
"GJR-GARCH(1,1)","alpha1",0.001654,0.008143,0.2031,0.8391,""
"GJR-GARCH(1,1)","beta1",0.894994,0.012884,69.4648,0,"***"
"GJR-GARCH(1,1)","gamma1",0.139239,0.019901,6.9965,0,"***"
"GJR-GARCH(1,1)","shape",7.706567,0.908001,8.4874,0,"***"
"FIGARCH(1,d,1)","mu",0.076088,0.013556,5.6128,0,"***"
"FIGARCH(1,d,1)","omega",0.030056,0.011253,2.6708,0.0076,"***"
"FIGARCH(1,d,1)","alpha1",0.222953,0.051023,4.3696,0,"***"
"FIGARCH(1,d,1)","beta1",0.635489,0.096367,6.5945,0,"***"
"FIGARCH(1,d,1)","delta",0.484646,0.107504,4.5082,0,"***"
"FIGARCH(1,d,1)","shape",6.781466,0.760489,8.9172,0,"***"
