"Quarter","Horizon","Model_1","Model_2","DM_stat","p_value","Conclusion"
"Q1 2025","1-day","FIGARCH(1,d,1)","GARCH(1,1)",-0.8491,0.19959,"No significant difference"
"Q1 2025","1-day","FIGARCH(1,d,1)","EGARCH(1,1)",-3.6451,0.00028,"FIGARCH significantly better"
"Q1 2025","1-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",-2.7212,0.004249,"FIGARCH significantly better"
"Q1 2025","5-day","FIGARCH(1,d,1)","GARCH(1,1)",2.6064,0.994148,"No significant difference"
"Q1 2025","5-day","FIGARCH(1,d,1)","EGARCH(1,1)",2.2583,0.98608,"No significant difference"
"Q1 2025","5-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",1.6444,0.947153,"No significant difference"
"Q1 2025","10-day","FIGARCH(1,d,1)","GARCH(1,1)",4.2528,0.999955,"No significant difference"
"Q1 2025","10-day","FIGARCH(1,d,1)","EGARCH(1,1)",2.1648,0.982445,"No significant difference"
"Q1 2025","10-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",1.8042,0.961445,"No significant difference"
"Q1 2025","20-day","FIGARCH(1,d,1)","GARCH(1,1)",3.1533,0.998491,"No significant difference"
"Q1 2025","20-day","FIGARCH(1,d,1)","EGARCH(1,1)",1.1538,0.872366,"No significant difference"
"Q1 2025","20-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",3.3601,0.999153,"No significant difference"
"Q2 2025","1-day","FIGARCH(1,d,1)","GARCH(1,1)",0.5211,0.697899,"No significant difference"
"Q2 2025","1-day","FIGARCH(1,d,1)","EGARCH(1,1)",3.1942,0.998882,"No significant difference"
"Q2 2025","1-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",2.7358,0.995914,"No significant difference"
"Q2 2025","5-day","FIGARCH(1,d,1)","GARCH(1,1)",-0.4337,0.333089,"No significant difference"
"Q2 2025","5-day","FIGARCH(1,d,1)","EGARCH(1,1)",-1.8151,0.037432,"FIGARCH significantly better"
"Q2 2025","5-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",-0.2354,0.407389,"No significant difference"
"Q2 2025","10-day","FIGARCH(1,d,1)","GARCH(1,1)",0.658,0.743247,"No significant difference"
"Q2 2025","10-day","FIGARCH(1,d,1)","EGARCH(1,1)",-2.246,0.014531,"FIGARCH significantly better"
"Q2 2025","10-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",-2.2486,0.014445,"FIGARCH significantly better"
"Q2 2025","20-day","FIGARCH(1,d,1)","GARCH(1,1)",0.2338,0.591854,"No significant difference"
"Q2 2025","20-day","FIGARCH(1,d,1)","EGARCH(1,1)",-1.8789,0.033693,"FIGARCH significantly better"
"Q2 2025","20-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",-2.7636,0.004261,"FIGARCH significantly better"
"Q3 2025","1-day","FIGARCH(1,d,1)","GARCH(1,1)",-2.1495,0.01772,"FIGARCH significantly better"
"Q3 2025","1-day","FIGARCH(1,d,1)","EGARCH(1,1)",-4.6895,8e-06,"FIGARCH significantly better"
"Q3 2025","1-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",-2.3098,0.012094,"FIGARCH significantly better"
"Q3 2025","5-day","FIGARCH(1,d,1)","GARCH(1,1)",0.4976,0.689678,"No significant difference"
"Q3 2025","5-day","FIGARCH(1,d,1)","EGARCH(1,1)",3.1166,0.998587,"No significant difference"
"Q3 2025","5-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",3.7968,0.999826,"No significant difference"
"Q3 2025","10-day","FIGARCH(1,d,1)","GARCH(1,1)",0.5818,0.718441,"No significant difference"
"Q3 2025","10-day","FIGARCH(1,d,1)","EGARCH(1,1)",2.6467,0.994686,"No significant difference"
"Q3 2025","10-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",4.831,0.999994,"No significant difference"
"Q3 2025","20-day","FIGARCH(1,d,1)","GARCH(1,1)",1.9115,0.968769,"No significant difference"
"Q3 2025","20-day","FIGARCH(1,d,1)","EGARCH(1,1)",1.4422,0.92184,"No significant difference"
"Q3 2025","20-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",7.6233,1,"No significant difference"
"Q4 2025","1-day","FIGARCH(1,d,1)","GARCH(1,1)",-5.1436,2e-06,"FIGARCH significantly better"
"Q4 2025","1-day","FIGARCH(1,d,1)","EGARCH(1,1)",-4.1199,5.8e-05,"FIGARCH significantly better"
"Q4 2025","1-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",-4.7631,6e-06,"FIGARCH significantly better"
"Q4 2025","5-day","FIGARCH(1,d,1)","GARCH(1,1)",9.3173,1,"No significant difference"
"Q4 2025","5-day","FIGARCH(1,d,1)","EGARCH(1,1)",3.2882,0.999135,"No significant difference"
"Q4 2025","5-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",9.2815,1,"No significant difference"
"Q4 2025","10-day","FIGARCH(1,d,1)","GARCH(1,1)",10.2164,1,"No significant difference"
"Q4 2025","10-day","FIGARCH(1,d,1)","EGARCH(1,1)",1.1917,0.880606,"No significant difference"
"Q4 2025","10-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",9.9323,1,"No significant difference"
"Q4 2025","20-day","FIGARCH(1,d,1)","GARCH(1,1)",8.6092,1,"No significant difference"
"Q4 2025","20-day","FIGARCH(1,d,1)","EGARCH(1,1)",1.7023,0.951956,"No significant difference"
"Q4 2025","20-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",14.1096,1,"No significant difference"
