"Quarter","Model","Horizon","MAE","RMSE","MAPE"
"Q1 2025","FIGARCH(1,d,1)","1-day",0.519648,0.574021,479.7009
"Q1 2025","GARCH(1,1)","1-day",0.52233,0.576283,490.8302
"Q1 2025","GJR-GARCH(1,1)","1-day",0.549238,0.605545,535.1792
"Q1 2025","EGARCH(1,1)","1-day",0.578164,0.639763,581.2377
"Q1 2025","EGARCH(1,1)","10-day",1.378015,1.42686,58.3346
"Q1 2025","GJR-GARCH(1,1)","10-day",1.403451,1.448571,59.5468
"Q1 2025","GARCH(1,1)","10-day",1.436968,1.477483,61.1338
"Q1 2025","FIGARCH(1,d,1)","10-day",1.446614,1.486132,61.5944
"Q1 2025","GJR-GARCH(1,1)","20-day",2.374687,2.391482,72.2468
"Q1 2025","EGARCH(1,1)","20-day",2.374602,2.392171,72.2354
"Q1 2025","GARCH(1,1)","20-day",2.384897,2.399243,72.6124
"Q1 2025","FIGARCH(1,d,1)","20-day",2.397662,2.41191,73.0069
"Q1 2025","EGARCH(1,1)","5-day",0.74526,0.83091,45.9895
"Q1 2025","GJR-GARCH(1,1)","5-day",0.773855,0.859755,46.9392
"Q1 2025","GARCH(1,1)","5-day",0.806562,0.889826,48.3179
"Q1 2025","FIGARCH(1,d,1)","5-day",0.811779,0.897081,48.3206
"Q2 2025","EGARCH(1,1)","1-day",0.557496,0.735561,754.2095
"Q2 2025","GJR-GARCH(1,1)","1-day",0.55107,0.739847,748.5561
"Q2 2025","GARCH(1,1)","1-day",0.621024,0.783656,848.9489
"Q2 2025","FIGARCH(1,d,1)","1-day",0.621833,0.786936,829.8203
"Q2 2025","GARCH(1,1)","10-day",1.946516,2.276874,60.5189
"Q2 2025","FIGARCH(1,d,1)","10-day",1.955274,2.282372,60.8922
"Q2 2025","GJR-GARCH(1,1)","10-day",2.043805,2.364957,64.1881
"Q2 2025","EGARCH(1,1)","10-day",2.056405,2.392441,64.2212
"Q2 2025","GARCH(1,1)","20-day",3.316678,3.499735,75.3396
"Q2 2025","FIGARCH(1,d,1)","20-day",3.315037,3.503527,75.1703
"Q2 2025","GJR-GARCH(1,1)","20-day",3.408528,3.597175,77.3647
"Q2 2025","EGARCH(1,1)","20-day",3.420109,3.610787,77.6051
"Q2 2025","FIGARCH(1,d,1)","5-day",1.085427,1.526558,42.444
"Q2 2025","GJR-GARCH(1,1)","5-day",1.146448,1.53389,46.6381
"Q2 2025","GARCH(1,1)","5-day",1.090637,1.534731,42.9473
"Q2 2025","EGARCH(1,1)","5-day",1.159011,1.571901,45.9935
"Q3 2025","FIGARCH(1,d,1)","1-day",0.338692,0.393183,1290.0173
"Q3 2025","GARCH(1,1)","1-day",0.343326,0.397192,1271.4094
"Q3 2025","GJR-GARCH(1,1)","1-day",0.356528,0.413199,1172.1968
"Q3 2025","EGARCH(1,1)","1-day",0.380884,0.443951,1257.8913
"Q3 2025","EGARCH(1,1)","10-day",0.827524,0.869307,49.6567
"Q3 2025","GJR-GARCH(1,1)","10-day",0.825728,0.873009,49.2416
"Q3 2025","GARCH(1,1)","10-day",0.867798,0.915379,51.8274
"Q3 2025","FIGARCH(1,d,1)","10-day",0.873241,0.920138,52.2188
"Q3 2025","GJR-GARCH(1,1)","20-day",1.558221,1.578042,64.5123
"Q3 2025","EGARCH(1,1)","20-day",1.586528,1.604737,65.7722
"Q3 2025","GARCH(1,1)","20-day",1.591514,1.610409,65.9299
"Q3 2025","FIGARCH(1,d,1)","20-day",1.613042,1.631747,66.8432
"Q3 2025","EGARCH(1,1)","5-day",0.384062,0.433684,33.4877
"Q3 2025","GJR-GARCH(1,1)","5-day",0.397212,0.450632,34.1789
"Q3 2025","GARCH(1,1)","5-day",0.435231,0.492758,37.3748
"Q3 2025","FIGARCH(1,d,1)","5-day",0.438541,0.494983,37.7011
"Q4 2025","FIGARCH(1,d,1)","1-day",0.275124,0.337675,437.8386
"Q4 2025","GARCH(1,1)","1-day",0.293118,0.355425,466.4477
"Q4 2025","GJR-GARCH(1,1)","1-day",0.303847,0.370895,491.259
"Q4 2025","EGARCH(1,1)","1-day",0.302816,0.373413,498.9925
"Q4 2025","GJR-GARCH(1,1)","10-day",0.799767,0.81371,51.9514
"Q4 2025","GARCH(1,1)","10-day",0.823606,0.835559,53.5827
"Q4 2025","EGARCH(1,1)","10-day",0.84703,0.861342,55.0614
"Q4 2025","FIGARCH(1,d,1)","10-day",0.868877,0.879875,56.5936
"Q4 2025","GJR-GARCH(1,1)","20-day",1.362705,1.368346,63.1529
"Q4 2025","GARCH(1,1)","20-day",1.389648,1.395096,64.4107
"Q4 2025","EGARCH(1,1)","20-day",1.429661,1.434942,66.2837
"Q4 2025","FIGARCH(1,d,1)","20-day",1.453541,1.458765,67.3886
"Q4 2025","GJR-GARCH(1,1)","5-day",0.373237,0.427102,33.0219
"Q4 2025","GARCH(1,1)","5-day",0.394078,0.444629,35.0299
"Q4 2025","EGARCH(1,1)","5-day",0.397329,0.451366,35.2823
"Q4 2025","FIGARCH(1,d,1)","5-day",0.430552,0.48022,38.3798
