"Quarter","Model","Horizon","MAE","RMSE","MAPE"
"Q1 2025 (Jan-Mar)","FIGARCH(1,d,1)","1-day",0.508297,0.564317,466.3775
"Q1 2025 (Jan-Mar)","GARCH(1,1)","1-day",0.513388,0.567696,479.3525
"Q1 2025 (Jan-Mar)","GJR-GARCH(1,1)","1-day",0.541842,0.599979,524.3963
"Q1 2025 (Jan-Mar)","EGARCH(1,1)","1-day",0.56956,0.631638,568.2926
"Q1 2025 (Jan-Mar)","FIGARCH(1,d,1)","20-day",0.139334,0.151022,19.6985
"Q1 2025 (Jan-Mar)","GARCH(1,1)","20-day",0.153474,0.163853,21.6499
"Q1 2025 (Jan-Mar)","GJR-GARCH(1,1)","20-day",0.162148,0.182076,23.1253
"Q1 2025 (Jan-Mar)","EGARCH(1,1)","20-day",0.163792,0.185292,23.3121
"Q1 2025 (Jan-Mar)","FIGARCH(1,d,1)","3-day",0.339321,0.399424,165.6321
"Q1 2025 (Jan-Mar)","GARCH(1,1)","3-day",0.342398,0.403392,170.7877
"Q1 2025 (Jan-Mar)","GJR-GARCH(1,1)","3-day",0.361255,0.428138,182.3753
"Q1 2025 (Jan-Mar)","EGARCH(1,1)","3-day",0.380455,0.456399,197.2985
"Q1 2025 (Jan-Mar)","FIGARCH(1,d,1)","5-day",0.21754,0.275412,49.7557
"Q1 2025 (Jan-Mar)","GARCH(1,1)","5-day",0.225737,0.284404,51.9786
"Q1 2025 (Jan-Mar)","GJR-GARCH(1,1)","5-day",0.263108,0.317129,59.2595
"Q1 2025 (Jan-Mar)","EGARCH(1,1)","5-day",0.292181,0.349279,65.4958
"Q2 2025 (Apr-Jun)","GJR-GARCH(1,1)","1-day",0.540933,0.7182,741.9235
"Q2 2025 (Apr-Jun)","EGARCH(1,1)","1-day",0.551461,0.719998,755.4982
"Q2 2025 (Apr-Jun)","FIGARCH(1,d,1)","1-day",0.598471,0.752141,809.5231
"Q2 2025 (Apr-Jun)","GARCH(1,1)","1-day",0.601081,0.754489,835.449
