"Date","Actual","Fitted","Residual"
2010-01-05,0.86964,0.006816,0.862824
2010-01-06,0.073864,0.007045,0.066819
2010-01-07,-0.354669,0.039358,-0.394027
2010-01-08,-0.349265,-0.021412,-0.327853
2010-01-11,0.088619,-0.029248,0.117867
2010-01-12,-0.745716,0.017584,-0.7633
2010-01-13,0.450968,-0.023724,0.474692
2010-01-14,0.494571,-0.015851,0.510422
2010-01-15,-0.146492,0.043653,-0.190145
2010-01-18,0.430319,0.007397,0.422922
2010-01-19,-0.937109,-0.029808,-0.907301
2010-01-20,-0.075612,0.041584,-0.117196
2010-01-21,-2.473025,-0.0844,-2.388626
2010-01-22,-1.148069,-0.016526,-1.131543
2010-01-25,-0.559547,-0.097013,-0.462534
2010-01-27,-3.139895,-0.072498,-3.067397
2010-01-28,0.29114,0.038483,0.252657
2010-01-29,0.303608,-0.236163,0.53977
2010-02-01,0.360884,0.171165,0.189719
2010-02-02,-1.430683,0.004632,-1.435314
2010-02-03,2.0847,-0.145004,2.229704
2010-02-04,-1.769469,0.163758,-1.933227
2010-02-05,-2.649678,-0.073525,-2.576153
2010-02-08,0.880896,-0.101482,0.982378
2010-02-09,0.67518,-0.050308,0.725488
2010-02-10,-0.742417,0.0989,-0.841318
2010-02-11,1.45348,-0.016266,1.469746
2010-02-15,-0.517198,-0.057956,-0.459242
2010-02-16,1.114144,0.156619,0.957526
2010-02-17,1.19247,-0.11629,1.308761
2010-02-18,-0.53562,0.101612,-0.637231
2010-02-19,-0.880549,0.092413,-0.972962
2010-02-22,0.237082,-0.220249,0.457331
2010-02-23,0.280676,0.153426,0.12725
2010-02-24,-0.235381,-0.050376,-0.185005
2010-02-25,0.023665,-0.037684,0.061349
2010-02-26,1.278887,0.101435,1.177452
2010-03-02,1.905628,-0.102935,2.008563
2010-03-03,1.407235,0.18789,1.219346
2010-03-04,-0.154403,0.048662,-0.203065
2010-03-05,0.166196,-0.042825,0.209021
2010-03-08,0.691295,0.086948,0.604347
2010-03-09,-0.440077,-0.073466,-0.366611
2010-03-10,0.288713,0.080063,0.208651
2010-03-11,0.334644,-0.040225,0.374869
2010-03-12,0.070106,-0.010953,0.081059
2010-03-15,-0.157806,0.094443,-0.252249
2010-03-16,1.3402,-0.109401,1.449602
2010-03-17,0.648129,0.091918,0.556211
2010-03-18,0.267232,0.064882,0.20235
2010-03-19,0.321637,-0.056389,0.378026
2010-03-22,-1.1005,0.084049,-1.184549
2010-03-23,0.385401,-0.054726,0.440127
2010-03-25,0.669488,-0.051704,0.721192
2010-03-26,0.409776,0.107585,0.302191
2010-03-29,0.393962,-0.035004,0.428966
2010-03-30,-0.76477,0.025888,-0.790658
2010-03-31,-0.254008,0.030842,-0.28485
2010-04-01,0.785611,-0.108338,0.893949
2010-04-05,1.461713,0.086661,1.375053
2010-04-06,-0.044714,0.040975,-0.085689
2010-04-07,0.161069,0.007342,0.153726
2010-04-08,-1.314731,0.030163,-1.344894
2010-04-09,1.074429,-0.065909,1.140337
2010-04-12,-0.412091,0.002531,-0.414622
2010-04-13,-0.314181,0.056359,-0.37054
2010-04-15,-0.931444,-0.063361,-0.868083
2010-04-16,-0.208804,-0.019936,-0.188868
2010-04-19,-1.126494,-0.000576,-1.125917
2010-04-20,0.507013,-0.066751,0.573764
2010-04-21,0.282574,0.015511,0.267063
2010-04-22,0.465088,0.019421,0.445667
2010-04-23,0.657309,0.013328,0.643981
2010-04-26,0.345364,0.023332,0.322032
2010-04-27,-0.265269,0.032328,-0.297597
2010-04-28,-1.765566,-0.013544,-1.752022
2010-04-29,0.739281,-0.042134,0.781415
2010-04-30,0.452902,-0.054403,0.507305
2010-05-03,-1.052315,0.085756,-1.138071
2010-05-04,-1.431867,-0.023102,-1.408765
2010-05-05,-0.459442,-0.122578,-0.336864
2010-05-06,-0.666616,0.033682,-0.700298
2010-05-07,-1.440346,-0.06006,-1.380286
2010-05-10,3.438574,-0.041288,3.479862
2010-05-11,-1.112336,0.037815,-1.150151
