"Model","Horizon","Avg_MAE","Avg_RMSE"
"FIGARCH(1,d,1)","1-day",0.429472,0.510737
"GJR-GARCH(1,1)","1-day",0.435892,0.524644
"GARCH(1,1)","1-day",0.437287,0.518009
"EGARCH(1,1)","1-day",0.450461,0.540294
"FIGARCH(1,d,1)","20-day",0.193722,0.206392
"GARCH(1,1)","20-day",0.215873,0.22669
"EGARCH(1,1)","20-day",0.230547,0.241471
"GJR-GARCH(1,1)","20-day",0.251607,0.260223
"FIGARCH(1,d,1)","3-day",0.325758,0.390577
"GJR-GARCH(1,1)","3-day",0.340798,0.420385
"GARCH(1,1)","3-day",0.342475,0.406915
"EGARCH(1,1)","3-day",0.348654,0.430863
"FIGARCH(1,d,1)","5-day",0.251799,0.297732
"GARCH(1,1)","5-day",0.270812,0.319393
"GJR-GARCH(1,1)","5-day",0.280811,0.338408
"EGARCH(1,1)","5-day",0.289852,0.346785
