"Quarter","Horizon","Model_1","Model_2","DM_stat","p_value","Conclusion"
"Q1 2025","1-day","FIGARCH(1,d,1)","GARCH(1,1)",-0.8479,0.19992,"No significant difference"
"Q1 2025","1-day","FIGARCH(1,d,1)","EGARCH(1,1)",-3.6451,0.00028,"FIGARCH significantly better"
"Q1 2025","1-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",-2.721,0.004252,"FIGARCH significantly better"
"Q1 2025","5-day","FIGARCH(1,d,1)","GARCH(1,1)",2.6066,0.994152,"No significant difference"
"Q1 2025","5-day","FIGARCH(1,d,1)","EGARCH(1,1)",2.2584,0.986084,"No significant difference"
"Q1 2025","5-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",1.6448,0.94719,"No significant difference"
"Q1 2025","10-day","FIGARCH(1,d,1)","GARCH(1,1)",4.2559,0.999955,"No significant difference"
"Q1 2025","10-day","FIGARCH(1,d,1)","EGARCH(1,1)",2.1649,0.98245,"No significant difference"
"Q1 2025","10-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",1.8044,0.961466,"No significant difference"
"Q1 2025","20-day","FIGARCH(1,d,1)","GARCH(1,1)",3.1548,0.998498,"No significant difference"
"Q1 2025","20-day","FIGARCH(1,d,1)","EGARCH(1,1)",1.154,0.872412,"No significant difference"
"Q1 2025","20-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",3.3613,0.999156,"No significant difference"
"Q2 2025","1-day","FIGARCH(1,d,1)","GARCH(1,1)",0.522,0.698207,"No significant difference"
"Q2 2025","1-day","FIGARCH(1,d,1)","EGARCH(1,1)",3.1944,0.998883,"No significant difference"
"Q2 2025","1-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",2.7376,0.995934,"No significant difference"
"Q2 2025","5-day","FIGARCH(1,d,1)","GARCH(1,1)",-0.4338,0.333052,"No significant difference"
"Q2 2025","5-day","FIGARCH(1,d,1)","EGARCH(1,1)",-1.8151,0.037433,"FIGARCH significantly better"
"Q2 2025","5-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",-0.2374,0.406621,"No significant difference"
"Q2 2025","10-day","FIGARCH(1,d,1)","GARCH(1,1)",0.6562,0.742664,"No significant difference"
"Q2 2025","10-day","FIGARCH(1,d,1)","EGARCH(1,1)",-2.246,0.014534,"FIGARCH significantly better"
"Q2 2025","10-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",-2.2493,0.014421,"FIGARCH significantly better"
"Q2 2025","20-day","FIGARCH(1,d,1)","GARCH(1,1)",0.2338,0.591854,"No significant difference"
"Q2 2025","20-day","FIGARCH(1,d,1)","EGARCH(1,1)",-1.8788,0.033698,"FIGARCH significantly better"
"Q2 2025","20-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",-2.764,0.004258,"FIGARCH significantly better"
"Q3 2025","1-day","FIGARCH(1,d,1)","GARCH(1,1)",-2.1504,0.017683,"FIGARCH significantly better"
"Q3 2025","1-day","FIGARCH(1,d,1)","EGARCH(1,1)",-4.6895,8e-06,"FIGARCH significantly better"
"Q3 2025","1-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",-2.3092,0.012111,"FIGARCH significantly better"
"Q3 2025","5-day","FIGARCH(1,d,1)","GARCH(1,1)",0.4987,0.690076,"No significant difference"
"Q3 2025","5-day","FIGARCH(1,d,1)","EGARCH(1,1)",3.1165,0.998587,"No significant difference"
"Q3 2025","5-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",3.7971,0.999826,"No significant difference"
"Q3 2025","10-day","FIGARCH(1,d,1)","GARCH(1,1)",0.5827,0.718725,"No significant difference"
"Q3 2025","10-day","FIGARCH(1,d,1)","EGARCH(1,1)",2.6465,0.994683,"No significant difference"
"Q3 2025","10-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",4.8317,0.999994,"No significant difference"
"Q3 2025","20-day","FIGARCH(1,d,1)","GARCH(1,1)",1.9138,0.96892,"No significant difference"
"Q3 2025","20-day","FIGARCH(1,d,1)","EGARCH(1,1)",1.4425,0.921875,"No significant difference"
"Q3 2025","20-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",7.6376,1,"No significant difference"
"Q4 2025","1-day","FIGARCH(1,d,1)","GARCH(1,1)",-5.1434,2e-06,"FIGARCH significantly better"
"Q4 2025","1-day","FIGARCH(1,d,1)","EGARCH(1,1)",-4.1198,5.8e-05,"FIGARCH significantly better"
"Q4 2025","1-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",-4.7629,6e-06,"FIGARCH significantly better"
"Q4 2025","5-day","FIGARCH(1,d,1)","GARCH(1,1)",9.3138,1,"No significant difference"
"Q4 2025","5-day","FIGARCH(1,d,1)","EGARCH(1,1)",3.288,0.999134,"No significant difference"
"Q4 2025","5-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",9.2794,1,"No significant difference"
"Q4 2025","10-day","FIGARCH(1,d,1)","GARCH(1,1)",10.204,1,"No significant difference"
"Q4 2025","10-day","FIGARCH(1,d,1)","EGARCH(1,1)",1.1916,0.880582,"No significant difference"
"Q4 2025","10-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",9.9287,1,"No significant difference"
"Q4 2025","20-day","FIGARCH(1,d,1)","GARCH(1,1)",8.5964,1,"No significant difference"
"Q4 2025","20-day","FIGARCH(1,d,1)","EGARCH(1,1)",1.7017,0.951897,"No significant difference"
"Q4 2025","20-day","FIGARCH(1,d,1)","GJR-GARCH(1,1)",14.092,1,"No significant difference"
