"Model","Horizon","MAE","RMSE","MAPE"
"FIGARCH(1,d,1)","1-day",0.508297,0.564317,466.3775
"GARCH(1,1)","1-day",0.513388,0.567696,479.3525
"GJR-GARCH(1,1)","1-day",0.541842,0.599979,524.3963
"EGARCH(1,1)","1-day",0.56956,0.631638,568.2926
"FIGARCH(1,d,1)","20-day",0.139334,0.151022,19.6985
"GARCH(1,1)","20-day",0.153474,0.163853,21.6499
"GJR-GARCH(1,1)","20-day",0.162148,0.182076,23.1253
"EGARCH(1,1)","20-day",0.163792,0.185292,23.3121
"FIGARCH(1,d,1)","3-day",0.339321,0.399424,165.6321
"GARCH(1,1)","3-day",0.342398,0.403392,170.7877
"GJR-GARCH(1,1)","3-day",0.361255,0.428138,182.3753
"EGARCH(1,1)","3-day",0.380455,0.456399,197.2985
"FIGARCH(1,d,1)","5-day",0.21754,0.275412,49.7557
"GARCH(1,1)","5-day",0.225737,0.284404,51.9786
"GJR-GARCH(1,1)","5-day",0.263108,0.317129,59.2595
"EGARCH(1,1)","5-day",0.292181,0.349279,65.4958
