"Quarter","Model","Horizon","MAE","RMSE","MAPE"
"Q1 2025","FIGARCH(1,d,1)","1-day",0.519649,0.574023,479.7028
"Q1 2025","GARCH(1,1)","1-day",0.52233,0.576282,490.829
"Q1 2025","GJR-GARCH(1,1)","1-day",0.549238,0.605544,535.182
"Q1 2025","EGARCH(1,1)","1-day",0.578165,0.639763,581.2384
"Q1 2025","EGARCH(1,1)","10-day",1.378015,1.426859,58.3346
"Q1 2025","GJR-GARCH(1,1)","10-day",1.403452,1.448571,59.5468
"Q1 2025","GARCH(1,1)","10-day",1.436967,1.477483,61.1337
"Q1 2025","FIGARCH(1,d,1)","10-day",1.446615,1.486133,61.5944
"Q1 2025","GJR-GARCH(1,1)","20-day",2.374689,2.391483,72.2469
"Q1 2025","EGARCH(1,1)","20-day",2.374601,2.39217,72.2354
"Q1 2025","GARCH(1,1)","20-day",2.384897,2.399243,72.6125
"Q1 2025","FIGARCH(1,d,1)","20-day",2.397664,2.411913,73.007
"Q1 2025","EGARCH(1,1)","5-day",0.74526,0.83091,45.9895
"Q1 2025","GJR-GARCH(1,1)","5-day",0.773853,0.859752,46.939
"Q1 2025","GARCH(1,1)","5-day",0.806563,0.889825,48.3181
"Q1 2025","FIGARCH(1,d,1)","5-day",0.81178,0.897082,48.3207
"Q2 2025","EGARCH(1,1)","1-day",0.557497,0.735562,754.2079
"Q2 2025","GJR-GARCH(1,1)","1-day",0.55108,0.739841,748.5529
"Q2 2025","GARCH(1,1)","1-day",0.621023,0.783654,848.9458
"Q2 2025","FIGARCH(1,d,1)","1-day",0.621836,0.78694,829.8306
"Q2 2025","GARCH(1,1)","10-day",1.946516,2.276875,60.5189
"Q2 2025","FIGARCH(1,d,1)","10-day",1.955264,2.282357,60.892
"Q2 2025","GJR-GARCH(1,1)","10-day",2.043805,2.36496,64.1879
"Q2 2025","EGARCH(1,1)","10-day",2.056403,2.392438,64.2212
"Q2 2025","GARCH(1,1)","20-day",3.316675,3.499732,75.3396
"Q2 2025","FIGARCH(1,d,1)","20-day",3.315034,3.503524,75.1703
"Q2 2025","GJR-GARCH(1,1)","20-day",3.408518,3.597163,77.3645
"Q2 2025","EGARCH(1,1)","20-day",3.420107,3.610787,77.6051
"Q2 2025","FIGARCH(1,d,1)","5-day",1.085419,1.526554,42.4435
"Q2 2025","GJR-GARCH(1,1)","5-day",1.146475,1.533937,46.6388
"Q2 2025","GARCH(1,1)","5-day",1.090637,1.534729,42.9473
"Q2 2025","EGARCH(1,1)","5-day",1.159009,1.571899,45.9934
"Q3 2025","FIGARCH(1,d,1)","1-day",0.338692,0.393183,1290.0173
"Q3 2025","GARCH(1,1)","1-day",0.343326,0.397192,1271.4193
"Q3 2025","GJR-GARCH(1,1)","1-day",0.356523,0.413192,1172.197
"Q3 2025","EGARCH(1,1)","1-day",0.380885,0.443953,1257.8907
"Q3 2025","EGARCH(1,1)","10-day",0.827522,0.869305,49.6566
"Q3 2025","GJR-GARCH(1,1)","10-day",0.825738,0.873021,49.2421
"Q3 2025","GARCH(1,1)","10-day",0.867797,0.915378,51.8274
"Q3 2025","FIGARCH(1,d,1)","10-day",0.873243,0.920141,52.2189
"Q3 2025","GJR-GARCH(1,1)","20-day",1.558236,1.578061,64.5129
"Q3 2025","EGARCH(1,1)","20-day",1.586525,1.604734,65.772
"Q3 2025","GARCH(1,1)","20-day",1.591516,1.61041,65.93
"Q3 2025","FIGARCH(1,d,1)","20-day",1.613048,1.631753,66.8434
"Q3 2025","EGARCH(1,1)","5-day",0.384061,0.433683,33.4877
"Q3 2025","GJR-GARCH(1,1)","5-day",0.397209,0.450631,34.1782
"Q3 2025","GARCH(1,1)","5-day",0.435229,0.492755,37.3747
"Q3 2025","FIGARCH(1,d,1)","5-day",0.438542,0.494985,37.7012
"Q4 2025","FIGARCH(1,d,1)","1-day",0.275125,0.337677,437.8401
"Q4 2025","GARCH(1,1)","1-day",0.293118,0.355425,466.45
"Q4 2025","GJR-GARCH(1,1)","1-day",0.303847,0.370895,491.2607
"Q4 2025","EGARCH(1,1)","1-day",0.302816,0.373413,498.9926
"Q4 2025","GJR-GARCH(1,1)","10-day",0.799765,0.813709,51.9512
"Q4 2025","GARCH(1,1)","10-day",0.823606,0.835559,53.5827
"Q4 2025","EGARCH(1,1)","10-day",0.847029,0.861341,55.0613
"Q4 2025","FIGARCH(1,d,1)","10-day",0.868875,0.879873,56.5934
"Q4 2025","GJR-GARCH(1,1)","20-day",1.362703,1.368344,63.1528
"Q4 2025","GARCH(1,1)","20-day",1.389643,1.395091,64.4105
"Q4 2025","EGARCH(1,1)","20-day",1.429661,1.434941,66.2837
"Q4 2025","FIGARCH(1,d,1)","20-day",1.453538,1.458761,67.3884
"Q4 2025","GJR-GARCH(1,1)","5-day",0.373235,0.427101,33.0218
"Q4 2025","GARCH(1,1)","5-day",0.394079,0.444632,35.03
"Q4 2025","EGARCH(1,1)","5-day",0.397329,0.451366,35.2823
"Q4 2025","FIGARCH(1,d,1)","5-day",0.430551,0.480219,38.3797
