"","Nifty50"
"2010-01-04",5232.200195
"2010-01-05",5277.899902
"2010-01-06",5281.799805
"2010-01-07",5263.100098
"2010-01-08",5244.75
"2010-01-11",5249.399902
"2010-01-12",5210.399902
"2010-01-13",5233.950195
"2010-01-14",5259.899902
"2010-01-15",5252.200195
"2010-01-18",5274.850098
"2010-01-19",5225.649902
"2010-01-20",5221.700195
"2010-01-21",5094.149902
"2010-01-22",5036
"2010-01-25",5007.899902
"2010-01-27",4853.100098
"2010-01-28",4867.25
"2010-01-29",4882.049805
"2010-02-01",4899.700195
"2010-02-02",4830.100098
"2010-02-03",4931.850098
"2010-02-04",4845.350098
"2010-02-05",4718.649902
"2010-02-08",4760.399902
"2010-02-09",4792.649902
"2010-02-10",4757.200195
"2010-02-11",4826.850098
"2010-02-15",4801.950195
"2010-02-16",4855.75
"2010-02-17",4914
"2010-02-18",4887.75
"2010-02-19",4844.899902
"2010-02-22",4856.399902
"2010-02-23",4870.049805
"2010-02-24",4858.600098
"2010-02-25",4859.75
"2010-02-26",4922.299805
"2010-03-02",5017
"2010-03-03",5088.100098
"2010-03-04",5080.25
"2010-03-05",5088.700195
"2010-03-08",5124
"2010-03-09",5101.5
"2010-03-10",5116.25
"2010-03-11",5133.399902
"2010-03-12",5137
"2010-03-15",5128.899902
"2010-03-16",5198.100098
"2010-03-17",5231.899902
"2010-03-18",5245.899902
"2010-03-19",5262.799805
"2010-03-22",5205.200195
"2010-03-23",5225.299805
"2010-03-25",5260.399902
"2010-03-26",5282
"2010-03-29",5302.850098
"2010-03-30",5262.450195
"2010-03-31",5249.100098
"2010-04-01",5290.5
"2010-04-05",5368.399902
"2010-04-06",5366
"2010-04-07",5374.649902
"2010-04-08",5304.450195
"2010-04-09",5361.75
"2010-04-12",5339.700195
"2010-04-13",5322.950195
"2010-04-15",5273.600098
"2010-04-16",5262.600098
"2010-04-19",5203.649902
"2010-04-20",5230.100098
"2010-04-21",5244.899902
"2010-04-22",5269.350098
"2010-04-23",5304.100098
"2010-04-26",5322.450195
"2010-04-27",5308.350098
"2010-04-28",5215.450195
"2010-04-29",5254.149902
"2010-04-30",5278
"2010-05-03",5222.75
"2010-05-04",5148.5
"2010-05-05",5124.899902
"2010-05-06",5090.850098
"2010-05-07",5018.049805
"2010-05-10",5193.600098
"2010-05-11",5136.149902
"2010-05-12",5156.649902
"2010-05-13",5178.899902
"2010-05-14",5093.5
"2010-05-17",5059.899902
"2010-05-18",5066.200195
"2010-05-19",4919.649902
"2010-05-20",4947.600098
"2010-05-21",4931.149902
"2010-05-24",4943.950195
"2010-05-25",4806.75
"2010-05-26",4917.399902
"2010-05-27",5003.100098
"2010-05-28",5066.549805
"2010-05-31",5086.299805
"2010-06-01",4970.200195
"2010-06-02",5019.850098
"2010-06-03",5110.5
"2010-06-04",5135.5
"2010-06-07",5034
"2010-06-08",4987.100098
"2010-06-09",5000.299805
"2010-06-10",5078.600098
