"","Log_Returns"
"2010-01-05",0.869639578
"2010-01-06",0.073863891
"2010-01-07",-0.354668642
"2010-01-08",-0.349264905
"2010-01-11",0.088618948
"2010-01-12",-0.745715625
"2010-01-13",0.450967895
"2010-01-14",0.494570814
"2010-01-15",-0.146492296
"2010-01-18",0.430318782
"2010-01-19",-0.937108811
"2010-01-20",-0.075611656
"2010-01-21",-2.473025342
"2010-01-22",-1.148068718
"2010-01-25",-0.559547014
"2010-01-27",-3.13989499
"2010-01-28",0.291139973
"2010-01-29",0.303607774
"2010-02-01",0.3608845
"2010-02-02",-1.430682701
"2010-02-03",2.084699941
"2010-02-04",-1.769468871
"2010-02-05",-2.649678127
"2010-02-08",0.880895677
"2010-02-09",0.675179616
"2010-02-10",-0.742417305
"2010-02-11",1.45348003
"2010-02-15",-0.517197514
"2010-02-16",1.114144364
"2010-02-17",1.192470437
"2010-02-18",-0.53561992
"2010-02-19",-0.880548976
"2010-02-22",0.237081744
"2010-02-23",0.28067613
"2010-02-24",-0.235381321
"2010-02-25",0.023664559
"2010-02-26",1.278886501
"2010-03-02",1.905628424
"2010-03-03",1.407235362
"2010-03-04",-0.154402615
"2010-03-05",0.166196059
"2010-03-08",0.691295046
"2010-03-09",-0.44007699
"2010-03-10",0.288713469
"2010-03-11",0.334643983
"2010-03-12",0.070106283
"2010-03-15",-0.157805929
"2010-03-16",1.340200079
"2010-03-17",0.648128917
"2010-03-18",0.267231835
"2010-03-19",0.321636689
"2010-03-22",-1.100500395
"2010-03-23",0.385401165
"2010-03-25",0.669487583
"2010-03-26",0.409776295
"2010-03-29",0.393961642
"2010-03-30",-0.76476954
"2010-03-31",-0.254008295
"2010-04-01",0.785610742
"2010-04-05",1.461713499
"2010-04-06",-0.044714235
"2010-04-07",0.161068544
"2010-04-08",-1.314730971
"2010-04-09",1.07442866
"2010-04-12",-0.412090614
"2010-04-13",-0.314181056
"2010-04-15",-0.931443783
"2010-04-16",-0.208804005
"2010-04-19",-1.12649361
"2010-04-20",0.507013336
"2010-04-21",0.282574025
"2010-04-22",0.465087655
"2010-04-23",0.657309099
"2010-04-26",0.345363554
"2010-04-27",-0.265268946
"2010-04-28",-1.765565917
"2010-04-29",0.739281022
"2010-04-30",0.452901614
"2010-05-03",-1.052315498
"2010-05-04",-1.431867298
"2010-05-05",-0.459441653
"2010-05-06",-0.666616367
"2010-05-07",-1.440345681
"2010-05-10",3.438574404
"2010-05-11",-1.112336459
"2010-05-12",0.398337236
"2010-05-13",0.430553474
"2010-05-14",-1.66274426
"2010-05-17",-0.661851609
"2010-05-18",0.124436727
"2010-05-19",-2.935369832
"2010-05-20",0.566526034
"2010-05-21",-0.333042349
"2010-05-24",0.259243957
"2010-05-25",-2.814346627
"2010-05-26",2.275873561
"2010-05-27",1.727782415
"2010-05-28",1.260233422
"2010-05-31",0.389053826
"2010-06-01",-2.309049227
"2010-06-02",0.993995219
"2010-06-03",1.789717455
"2010-06-04",0.487996284
"2010-06-07",-1.996231291
"2010-06-08",-0.936029863
"2010-06-09",0.264327349
"2010-06-10",1.553778071
"2010-06-11",0.799184466
"2010-06-14",1.518876068
"2010-06-15",0.473125323
"2010-06-16",0.21041162
"2010-06-17",0.78986344
"2010-06-18",-0.232504169
"2010-06-21",1.708793694
"2010-06-22",-0.688859668
"2010-06-23",0.124065503
"2010-06-24",-0.047911774
"2010-06-25",-0.973605372
"2010-06-28",1.21576395
"2010-06-29",-1.460888207
"2010-06-30",1.066373324
"2010-07-01",-1.156784513
"2010-07-02",-0.272676046
"2010-07-05",-0.0229198
"2010-07-06",1.009987803
"2010-07-07",-0.91071901
"2010-07-08",1.058090408
"2010-07-09",1.044211382
"2010-07-12",0.569140308
"2010-07-13",0.327345904
"2010-07-14",-0.268847276
"2010-07-15",-0.137482068
"2010-07-16",0.281266215
"2010-07-19",-0.138209022
"2010-07-20",-0.343117743
"2010-07-21",0.582319437
"2010-07-22",0.785889437
"2010-07-23",0.131298693
"2010-07-26",-0.561297782
"2010-07-27",0.221214554
"2010-07-28",-0.610453234
"2010-07-29",0.210061623
"2010-07-30",-0.766482752
"2010-08-02",1.186203777
"2010-08-03",0.145336374
"2010-08-04",0.518920306
"2010-08-05",-0.380212912
"2010-08-06",-0.144219117
"2010-08-09",0.858553295
"2010-08-10",-0.464969423
"2010-08-11",-0.737049399
"2010-08-12",-0.076587308
"2010-08-13",0.65602181
"2010-08-16",-0.62187964
"2010-08-17",-0.076619835
"2010-08-18",1.19340829
"2010-08-19",1.108067483
"2010-08-20",-0.172530479
"2010-08-23",0.232073857
"2010-08-24",-0.695111718
"2010-08-25",-0.779583508
"2010-08-26",0.284268004
"2010-08-27",-1.271299366
"2010-08-30",0.124721121
"2010-08-31",-0.241273436
"2010-09-01",1.277350431
"2010-09-02",0.260993116
"2010-09-03",-0.123112858
"2010-09-06",1.76464789
"2010-09-07",0.483856148
"2010-09-08",0.068679081
"2010-09-09",0.57254768
"2010-09-13",2.104457862
"2010-09-14",0.615287328
"2010-09-15",1.122139182
"2010-09-16",-0.551771537
"2010-09-17",0.960425324
"2010-09-20",1.609757094
"2010-09-21",0.477078504
"2010-09-22",-0.300829056
"2010-09-23",-0.5263401
"2010-09-24",0.980985286
"2010-09-27",0.287874266
"2010-09-28",-0.101944906
"2010-09-29",-0.63557042
"2010-09-30",0.643036686
"2010-10-01",1.863956771
"2010-10-04",0.260920062
"2010-10-05",-0.221862965
"2010-10-06",0.659255819
"2010-10-07",-1.075036508
"2010-10-08",-0.275686594
"2010-10-11",0.529441672
"2010-10-12",-0.735279577
"2010-10-13",2.320628646
"2010-10-14",-0.911273176
"2010-10-15",-1.874241061
"2010-10-18",0.219140563
"2010-10-19",-0.803927088
"2010-10-20",-0.752742366
"2010-10-21",1.976294938
"2010-10-22",-0.582702289
"2010-10-25",0.653148742
"2010-10-26",-0.390551787
"2010-10-27",-1.146802235
"2010-10-28",-0.415816918
"2010-10-29",0.499776125
"2010-11-01",1.645649868
"2010-11-02",0.023702683
"2010-11-03",0.67592586
"2010-11-04",1.949858944
"2010-11-08",-0.136991011
"2010-11-09",0.450898148
"2010-11-10",-0.411054019
"2010-11-11",-1.306362133
"2010-11-12",-1.999106166
"2010-11-15",0.81931355
"2010-11-16",-2.194912341
"2010-11-18",0.168502386
"2010-11-19",-1.825251967
"2010-11-22",2.011785155
"2010-11-23",-1.259984437
"2010-11-24",-1.169455301
"2010-11-25",-1.131553799
"2010-11-26",-0.827585147
"2010-11-29",1.347803865
"2010-11-30",0.559328128
"2010-12-01",1.661117836
"2010-12-02",0.848614293
"2010-12-03",-0.314888687
"2010-12-06",-0.009174842
"2010-12-07",-0.262352192
"2010-12-08",-1.226413964
"2010-12-09",-2.35139954
"2010-12-10",1.563198887
"2010-12-13",0.855080513
"2010-12-14",0.615104271
"2010-12-15",-0.875276674
"2010-12-16",0.95347328
"2010-12-20",-0.028584801
"2010-12-21",0.897251497
"2010-12-22",-0.271171338
"2010-12-23",-0.073549908
"2010-12-24",0.527038436
"2010-12-27",-0.224818363
"2010-12-28",-0.035018845
"2010-12-29",1.067499006
"2010-12-30",0.682444959
"2010-12-31",0.533655536
"2011-01-03",0.375853185
"2011-01-04",-0.182868151
"2011-01-05",-1.088665701
"2011-01-06",-0.520279457
"2011-01-07",-2.403724931
"2011-01-10",-2.429956374
"2011-01-11",-0.151949979
"2011-01-12",1.87913962
"2011-01-13",-1.917383933
"2011-01-14",-1.706972177
"2011-01-17",0.003540366
"2011-01-18",1.218066276
"2011-01-19",-0.578183162
"2011-01-20",0.360448061
"2011-01-21",-0.264726052
"2011-01-24",0.817330103
"2011-01-25",-0.977206766
"2011-01-27",-1.471905915
"2011-01-28",-1.65793964
"2011-01-31",-0.113450216
"2011-02-01",-1.624111396
"2011-02-02",0.27282774
"2011-02-03",1.729254908
"2011-02-04",-2.398833268
"2011-02-07",0.004633169
"2011-02-08",-1.558602914
"2011-02-09",-1.116790782
"2011-02-10",-0.529614258
"2011-02-11",1.598397645
"2011-02-14",2.712408529
"2011-02-15",0.457164552
"2011-02-16",0.01277414
"2011-02-17",1.174281122
"2011-02-18",-1.590161933
"2011-02-21",1.086772328
"2011-02-22",-0.899183346
"2011-02-23",-0.584056138
"2011-02-24",-3.264758764
"2011-02-25",0.773213068
"2011-02-28",0.558443762
"2011-03-01",3.483359636
"2011-03-03",0.25139753
"2011-03-04",0.046046342
"2011-03-07",-1.374331493
"2011-03-08",1.049721334
"2011-03-09",0.184588907
"2011-03-10",-0.663925707
"2011-03-11",-0.894894048
"2011-03-14",1.567859303
"2011-03-15",-1.490765798
"2011-03-16",1.122192659
"2011-03-17",-1.177257225
"2011-03-18",-1.348400221
"2011-03-21",-0.166694397
"2011-03-22",0.911072622
"2011-03-23",1.219021746
"2011-03-24",0.766181037
"2011-03-25",2.359494405
"2011-03-28",0.581935249
"2011-03-29",0.859630932
"2011-03-30",0.890318354
"2011-03-31",0.793369815
"2011-04-01",-0.132081109
"2011-04-04",1.404435554
"2011-04-05",0.027069584
"2011-04-06",-0.310119129
"2011-04-07",-0.102735399
"2011-04-08",-0.745250933
"2011-04-11",-0.968381429
"2011-04-13",2.151021664
"2011-04-15",-1.48178966
"2011-04-18",-1.652324234
"2011-04-19",0.203139644
"2011-04-20",1.913379225
"2011-04-21",0.563213947
"2011-04-25",-0.173484552
"2011-04-26",-0.103894238
"2011-04-27",-0.589629398
"2011-04-28",-0.83395349
"2011-04-29",-0.623328425
"2011-05-02",-0.841870975
"2011-05-03",-2.415227741
"2011-05-04",-0.506199703
"2011-05-05",-1.405857558
"2011-05-06",1.663785534
"2011-05-09",-0.006306617
"2011-05-10",-0.177601683
"2011-05-11",0.428582724
"2011-05-12",-1.427921765
"2011-05-13",1.062481746
"2011-05-16",-0.82852766
"2011-05-17",-1.098019408
"2011-05-18",-0.337953499
"2011-05-19",0.138265434
"2011-05-20",1.067402426
"2011-05-23",-1.835813753
"2011-05-24",0.153974339
"2011-05-25",-0.854449643
"2011-05-26",1.178308088
"2011-05-27",1.170978924
"2011-05-30",-0.054798524
"2011-06-01",2.149180358
"2011-06-02",-0.74759985
"2011-06-03",-0.607208765
"2011-06-06",0.2769498
"2011-06-07",0.434698801
"2011-06-08",-0.528735414
"2011-06-09",-0.105002644
"2011-06-10",-0.64051244
"2011-06-13",-0.054701606
"2011-06-14",0.322311345
"2011-06-15",-0.968220936
"2011-06-16",-0.93598673
"2011-06-17",-0.563964608
"2011-06-20",-2.042558553
"2011-06-21",0.340813342
"2011-06-22",0.046421684
"2011-06-23",0.786926418
"2011-06-24",2.803380617
"2011-06-27",1.006570639
"2011-06-28",0.3377871
"2011-06-29",0.989629962
"2011-06-30",0.834825843
"2011-07-01",-0.358322751
"2011-07-04",0.413201937
"2011-07-05",-0.32616451
"2011-07-06",-0.118141211
"2011-07-07",1.823132234
"2011-07-08",-1.199359259
"2011-07-11",-0.790121914
"2011-07-12",-1.614613735
"2011-07-13",1.067368434
"2011-07-15",-0.077913013
"2011-07-18",-0.25206515
"2011-07-19",0.831802761
"2011-07-20",-0.831802761
"2011-07-21",-0.458197023
"2011-07-22",1.652754404
"2011-07-25",0.819318446
"2011-07-26",-1.873858518
"2011-07-27",-0.504427899
"2011-07-28",-1.070281424
"2011-07-29",-0.104833757
"2011-08-01",0.632794876
"2011-08-02",-1.098126053
"2011-08-03",-0.952927462
"2011-08-04",-1.359855589
"2011-08-05",-2.286910539
"2011-08-08",-1.795832284
"2011-08-09",-0.895861828
"2011-08-10",1.722755007
"2011-08-11",-0.440811172
"2011-08-12",-1.279970651
"2011-08-16",-0.735017839
"2011-08-17",0.412197745
"2011-08-18",-2.248930025
"2011-08-19",-2.012366463
"2011-08-22",1.090886218
"2011-08-23",1.017507263
"2011-08-24",-1.21980006
"2011-08-25",-1.013521647
"2011-08-26",-1.915078114
"2011-08-29",3.554593451
"2011-08-30",1.64106462
"2011-09-02",0.776818965
"2011-09-05",-0.453403399
"2011-09-06",0.934383813
"2011-09-07",1.184632473
"2011-09-08",0.556537264
"2011-09-09",-1.836976325
"2011-09-12",-2.251695694
"2011-09-13",-0.118320347
"2011-09-14",1.438706875
"2011-09-15",1.251975625
"2011-09-16",0.168304107
"2011-09-19",-1.033990424
"2011-09-20",2.128440546
"2011-09-21",-0.135304036
"2011-09-22",-4.168888131
"2011-09-23",-1.141828753
"2011-09-26",-0.666798263
"2011-09-27",2.770748216
"2011-09-28",-0.511238675
"2011-09-29",1.396425635
"2011-09-30",-1.450017752
"2011-10-03",-1.914740277
"2011-10-04",-1.607869021
"2011-10-05",-0.437869293
"2011-10-07",2.837518729
"2011-10-10",1.855617514
"2011-10-11",-0.10548577
"2011-10-12",2.482813816
"2011-10-13",-0.423490371
"2011-10-14",1.066590084
"2011-10-17",-0.274127998
"2011-10-18",-1.590265648
"2011-10-19",1.997774987
"2011-10-20",-0.923665447
"2011-10-21",-0.827264175
"2011-10-24",0.95385962
"2011-10-25",1.812497652
"2011-10-28",3.205264636
"2011-10-31",-0.638144572
"2011-11-01",-1.297190019
"2011-11-02",0.009508957
"2011-11-03",0.138724192
"2011-11-04",0.349768744
"2011-11-08",0.097411042
"2011-11-09",-1.299688975
"2011-11-11",-1.004824815
"2011-11-14",-0.397395157
"2011-11-15",-1.563137812
"2011-11-16",-0.753543368
"2011-11-17",-1.920746912
"2011-11-18",-0.588387426
"2011-11-21",-2.632281972
"2011-11-22",0.709023152
