"Regime","Model","LB_Resid_pval","LB_Sq_pval","LB_Resid_OK","LB_Squared_OK"
"Regime 1 - Pre-COVID","GARCH(1,1)",0.0084,0.9823,"FAIL","PASS"
"Regime 1 - Pre-COVID","EGARCH(1,1)",0.0055,0.7257,"FAIL","PASS"
"Regime 1 - Pre-COVID","GJR-GARCH(1,1)",0.0043,0.8557,"FAIL","PASS"
"Regime 1 - Pre-COVID","FIGARCH(1,d,1)",0.0033,0.9629,"FAIL","PASS"
"Regime 2 - COVID crisis","GARCH(1,1)",0.3277,0.8,"PASS","PASS"
"Regime 2 - COVID crisis","EGARCH(1,1)",0.3195,0.9822,"PASS","PASS"
"Regime 2 - COVID crisis","GJR-GARCH(1,1)",0.3385,0.9571,"PASS","PASS"
"Regime 2 - COVID crisis","FIGARCH(1,d,1)",0.2981,0.9115,"PASS","PASS"
"Regime 3 - Post-crisis","GARCH(1,1)",0.6647,0,"PASS","FAIL"
"Regime 3 - Post-crisis","EGARCH(1,1)",0.8769,0.1542,"PASS","PASS"
"Regime 3 - Post-crisis","GJR-GARCH(1,1)",0.8299,0.0085,"PASS","FAIL"
"Regime 3 - Post-crisis","FIGARCH(1,d,1)",0.6593,0.0068,"PASS","FAIL"
